id,anchor_yen,time_limit_sec,anchor_condition,willingness_yen
133,2500,35,C_high,1710
134,1750,35,B_middle,1500
135,1750,35,B_middle,1530
136,1750,35,B_middle,1170
137,2500,35,C_high,1540
138,2500,35,C_high,1690
139,2500,35,C_high,1390
140,2500,35,C_high,1650
141,1750,35,B_middle,1240
142,2500,35,C_high,1460
143,1750,35,B_middle,1690
144,1000,35,A_low,1040
145,1750,35,B_middle,1240
146,1000,35,A_low,990
147,1750,35,B_middle,1000
148,1000,35,A_low,1240
149,2500,35,C_high,1780
150,1750,35,B_middle,1240
151,1000,35,A_low,880
152,1750,35,B_middle,1410
153,1750,35,B_middle,1330
154,1750,35,B_middle,1420
155,1000,35,A_low,860
156,2500,35,C_high,1640
157,1000,35,A_low,1030
158,1750,35,B_middle,1190
159,1000,35,A_low,1350
160,1750,35,B_middle,1140
161,1000,35,A_low,1020
162,1000,35,A_low,1080
163,1000,35,A_low,840
164,2500,35,C_high,1100
165,2500,35,C_high,1150
166,1750,35,B_middle,1180
167,1000,35,A_low,1200
168,1000,35,A_low,810
169,1750,35,B_middle,1330
170,1000,35,A_low,1150
171,1750,35,B_middle,1460
172,2500,35,C_high,1530
173,2500,35,C_high,1680
174,1750,35,B_middle,1350
175,1750,35,B_middle,1010
176,1000,35,A_low,1010
177,1750,35,B_middle,1160
178,1750,35,B_middle,1490
179,1000,35,A_low,1810
180,1750,35,B_middle,1000
181,1000,35,A_low,810
182,1750,35,B_middle,1080
183,1750,35,B_middle,1360
184,1000,35,A_low,990
185,1750,35,B_middle,1120
186,1750,35,B_middle,1240
187,1000,35,A_low,790
188,1750,35,B_middle,1130
189,1000,35,A_low,970
190,1750,35,B_middle,1630
191,2500,35,C_high,1350
192,2500,35,C_high,1680
193,1000,35,A_low,980
194,1750,35,B_middle,1350
195,1750,35,B_middle,640
196,1750,35,B_middle,1450
197,1000,35,A_low,630
198,2500,35,C_high,1460
199,1750,35,B_middle,1000
200,2500,35,C_high,1410
201,1000,35,A_low,1460
202,2500,35,C_high,1290
203,1000,35,A_low,1020
204,1000,35,A_low,910
205,1750,35,B_middle,1200
206,2500,35,C_high,1080
207,1750,35,B_middle,1510
208,1750,35,B_middle,1090
209,1000,35,A_low,880
210,1750,35,B_middle,1340
211,1000,35,A_low,970
212,1000,35,A_low,1190
213,2500,35,C_high,1530
214,1750,35,B_middle,1330
215,2500,35,C_high,1460
216,1750,35,B_middle,1180
217,1000,35,A_low,1240
218,2500,35,C_high,1230
219,2500,35,C_high,1430
220,2500,35,C_high,1580
221,1000,35,A_low,810
222,1750,35,B_middle,1640
223,1000,35,A_low,660
224,1750,35,B_middle,1070
225,1000,35,A_low,1280
226,1750,35,B_middle,1420
227,2500,35,C_high,1350
228,2500,35,C_high,1370
229,1000,35,A_low,920
230,1750,35,B_middle,1200
231,2500,35,C_high,1340
232,1000,35,A_low,830
233,1750,35,B_middle,810
234,2500,35,C_high,1300
235,1000,35,A_low,1130
236,1000,35,A_low,790
237,1750,35,B_middle,1210
238,1000,35,A_low,800
239,2500,35,C_high,1380
240,2500,35,C_high,1090
241,1750,35,B_middle,1060
242,1750,35,B_middle,1300
243,2500,35,C_high,1360
244,2500,35,C_high,1340
245,1000,35,A_low,1300
246,1750,35,B_middle,1100
247,1750,35,B_middle,1280
248,2500,35,C_high,1580
249,1750,35,B_middle,890
250,1750,35,B_middle,1110
251,1750,35,B_middle,940
252,1750,35,B_middle,1510
253,2500,35,C_high,1480
254,1750,35,B_middle,1320
255,1750,35,B_middle,910
256,2500,35,C_high,1320
257,2500,35,C_high,1730
258,2500,35,C_high,1500
259,1750,35,B_middle,1380
260,2500,35,C_high,1390
261,2500,35,C_high,1440
262,2500,35,C_high,1500
263,1000,35,A_low,720
264,2500,35,C_high,1830
265,1750,35,B_middle,1060
266,2500,35,C_high,1220
267,2500,35,C_high,1380
268,1000,35,A_low,1210
269,1000,35,A_low,1010
270,1750,35,B_middle,1260
271,2500,35,C_high,1290
272,2500,35,C_high,1440
273,1750,35,B_middle,1410
274,2500,35,C_high,1750
275,2500,35,C_high,1320
276,2500,35,C_high,1500
277,1000,35,A_low,1470
278,1750,35,B_middle,1200
279,2500,35,C_high,1520
280,1000,35,A_low,930
281,1000,35,A_low,1010
282,1750,35,B_middle,1500
283,1750,35,B_middle,1290
284,2500,35,C_high,1530
285,1750,35,B_middle,1440
286,1000,35,A_low,840
287,2500,35,C_high,1840
288,2500,35,C_high,1420
289,2500,35,C_high,1570
290,2500,35,C_high,1380
291,1000,35,A_low,1070
292,1750,35,B_middle,990
293,1000,35,A_low,1220
294,1750,35,B_middle,940
295,2500,35,C_high,1480
296,1750,35,B_middle,1640
297,1750,35,B_middle,1260
298,1000,35,A_low,880
299,1000,35,A_low,1200
300,2500,35,C_high,1510
