id,region,age,education_years,income,gender,employment_status,marital_status,household_size,weekly_work_hours,support_1,support_2,support_3,support_4,support_5,stress_1,stress_2,stress_3,stress_4,stress_5,life_satisfaction_1,life_satisfaction_2,life_satisfaction_3,life_satisfaction_4,life_satisfaction_5
54,A,44,9,129,female,not_employed,married,5,0,3,2,1,2,5,2,4,3,2,4,1,4,4,3,3
55,A,57,9,0,male,not_employed,divorced,1,0,5,4,4,4,1,2,1,2,1,5,4,3,3,5,1
56,A,59,12,68,male,not_employed,married,2,0,5,5,4,5,2,2,4,3,3,1,2,2,4,2,4
57,A,53,16,69,male,not_employed,married,4,0,2,3,2,3,3,1,2,1,1,5,3,3,2,3,5
58,A,45,12,0,female,not_employed,married,2,0,4,3,3,3,2,1,1,2,1,5,5,4,4,5,2
59,B,55,16,113,male,not_employed,married,2,0,2,4,4,3,2,3,3,2,2,4,4,4,5,5,2
60,B,31,12,533,female,regular,married,2,43,4,4,4,3,2,4,2,1,4,2,3,3,3,3,3
61,A,21,12,289,female,regular,never_married,1,40,2,3,2,2,3,4,2,1,3,2,3,4,3,2,4
62,A,42,16,686,male,regular,married,3,39,1,1,5,2,5,2,3,3,3,5,3,4,4,3,1
63,A,44,12,307,female,regular,never_married,4,37,4,5,5,5,2,4,2,4,4,2,3,3,2,2,2
64,A,26,9,208,male,nonregular,never_married,1,9,2,5,3,3,1,3,5,4,4,4,2,5,3,4,4
65,A,27,14,96,male,nonregular,married,3,20,2,1,2,4,3,2,3,2,3,4,3,3,3,3,3
66,A,70,14,292,female,regular,widowed,1,32,4,1,4,2,3,5,4,5,4,2,5,4,5,4,3
67,B,48,18,427,female,regular,married,4,37,3,5,5,3,2,2,4,4,1,5,3,3,5,5,3
68,A,72,9,186,male,self_employed,married,2,41,3,3,2,2,3,1,2,3,2,2,3,3,5,3,2
69,A,59,14,423,female,regular,married,3,37,2,2,2,1,3,5,5,5,5,1,2,3,1,2,5
70,A,79,9,221,female,not_employed,married,3,0,4,5,5,4,3,2,2,4,2,5,3,5,3,4,3
71,B,79,12,0,male,not_employed,widowed,1,0,3,3,2,4,4,1,2,3,3,3,3,4,3,5,2
72,A,79,16,366,female,self_employed,married,3,25,4,4,4,5,2,3,3,2,3,5,5,4,4,4,4
73,A,48,12,145,female,not_employed,married,2,0,2,2,2,1,3,5,5,5,4,1,1,3,2,1,4
74,B,26,16,799,male,regular,married,3,40,2,3,3,1,2,5,4,3,4,2,1,3,2,3,3
75,A,76,16,139,female,not_employed,widowed,1,0,2,4,5,4,1,4,4,5,5,3,4,4,5,4,3
76,B,20,12,430,female,regular,married,4,42,4,3,5,3,3,2,1,2,2,3,2,3,1,1,4
77,A,58,16,543,male,regular,never_married,1,39,1,1,2,2,3,3,2,4,4,3,4,4,5,5,2
78,A,59,16,529,male,regular,married,4,35,3,4,3,2,3,2,2,1,2,5,5,4,4,5,1
79,B,32,16,487,male,regular,never_married,1,35,3,4,3,2,2,4,3,4,3,2,3,3,4,3,4
80,A,28,12,273,male,regular,never_married,1,46,1,4,2,2,4,3,4,4,3,3,2,2,3,4,4
81,B,51,16,506,female,regular,divorced,5,45,4,2,2,4,3,2,2,2,2,4,5,5,5,5,3
82,A,50,12,234,female,nonregular,married,6,25,2,3,4,1,2,4,5,5,5,1,1,2,1,2,3
83,B,35,12,337,male,regular,never_married,1,46,4,4,4,4,1,1,1,2,2,5,5,4,5,5,2
84,A,31,12,458,male,regular,never_married,2,34,3,4,4,3,4,4,3,3,3,3,5,3,5,4,2
85,A,46,12,635,female,regular,married,2,30,2,2,1,1,5,4,4,5,4,4,3,4,1,3,3
86,A,52,14,234,female,self_employed,divorced,6,48,2,2,2,2,3,3,2,3,3,2,3,4,5,5,3
87,B,38,12,107,male,self_employed,married,4,52,5,5,5,5,3,3,3,3,2,3,4,3,3,3,4
88,B,36,16,575,female,regular,never_married,1,34,1,2,1,1,5,4,3,2,3,3,3,4,4,3,2
89,A,36,12,188,male,nonregular,married,3,18,2,3,3,1,4,4,4,4,4,3,3,3,4,3,4
90,B,58,12,161,female,nonregular,married,3,9,3,2,2,4,3,3,3,3,3,4,3,3,3,2,3
91,B,78,12,59,male,nonregular,married,3,12,5,3,4,4,5,5,5,4,4,2,2,2,2,2,3
92,B,44,16,215,female,not_employed,married,4,0,3,3,1,3,3,1,3,2,1,5,4,4,2,4,3
93,A,32,18,418,male,regular,never_married,2,36,2,3,3,3,4,4,4,2,4,1,4,4,5,3,2
94,B,54,12,498,male,regular,married,2,37,4,4,3,3,3,3,2,3,3,3,4,4,4,4,2
95,B,37,12,254,female,not_employed,married,5,0,3,4,4,3,2,5,5,5,5,2,1,2,1,1,5
96,B,56,12,0,male,not_employed,married,2,0,3,3,2,4,3,3,3,4,3,3,5,2,5,4,2
97,B,57,12,519,female,regular,married,2,47,1,3,2,4,4,3,4,5,3,3,3,2,4,3,4
98,B,58,16,366,female,self_employed,married,5,44,5,2,2,5,4,1,2,4,4,3,4,3,5,4,3
99,B,20,12,291,male,regular,married,3,45,2,1,1,2,4,2,3,1,4,4,1,5,2,4,3
100,B,75,14,227,male,not_employed,married,2,0,2,1,2,2,3,4,5,3,4,3,2,4,2,3,3
101,B,43,16,182,female,nonregular,married,3,18,2,4,2,2,4,5,4,2,3,1,2,3,1,2,4
102,B,60,12,168,male,not_employed,married,2,0,3,4,2,3,2,5,5,2,4,4,1,3,2,2,2
103,A,45,12,487,female,regular,married,2,39,3,3,3,3,1,2,3,2,2,5,3,4,5,3,2
104,B,56,9,114,female,nonregular,married,3,14,1,3,1,2,3,1,1,2,1,5,3,3,5,4,4
105,B,40,16,493,male,regular,married,6,43,3,3,3,4,3,2,2,4,3,4,3,3,3,1,5
106,B,33,14,507,male,regular,never_married,1,34,3,3,1,2,3,2,3,3,2,3,3,5,4,4,1
107,B,72,12,0,female,not_employed,widowed,2,0,3,4,2,2,3,5,5,5,4,3,2,2,2,3,2
108,B,75,12,0,female,not_employed,married,4,0,2,3,2,4,1,1,1,1,1,5,5,5,5,5,1
109,A,40,16,787,female,regular,married,3,39,2,3,3,1,4,2,3,3,4,3,3,1,3,1,5
110,B,56,16,1077,male,regular,married,2,37,5,3,2,3,4,3,3,3,3,4,4,3,2,4,1
111,A,33,12,363,male,regular,never_married,1,49,2,2,3,3,3,4,5,3,3,3,3,3,4,3,3
112,A,78,9,187,female,not_employed,married,2,0,4,4,5,4,3,2,3,2,2,2,5,5,5,4,2
113,B,59,12,135,female,nonregular,married,4,21,4,4,4,5,1,3,1,1,1,4,3,2,5,3,3
114,A,42,14,421,female,regular,never_married,1,32,3,2,4,4,2,4,4,4,4,2,2,3,3,3,2
115,B,21,14,255,female,regular,never_married,2,38,4,4,4,3,3,3,3,3,3,3,4,3,2,4,2
116,A,42,12,683,male,regular,married,3,47,3,2,3,2,4,2,2,5,2,4,2,2,3,1,3
117,B,66,16,236,female,self_employed,widowed,1,40,2,3,3,4,4,4,3,3,2,5,3,4,2,4,3
118,A,27,16,82,male,nonregular,never_married,1,8,2,3,3,5,2,3,2,3,4,3,2,2,2,2,4
119,B,33,9,188,female,nonregular,never_married,3,18,4,4,5,4,2,4,4,2,4,4,5,4,5,5,3
120,A,20,12,108,female,nonregular,never_married,1,25,2,5,4,5,2,3,3,4,2,3,2,1,1,1,5
121,A,53,14,121,male,not_employed,married,2,0,1,2,1,1,4,4,3,3,4,3,1,1,3,2,5
122,A,67,12,743,female,regular,married,2,36,2,2,2,3,4,5,4,3,4,3,4,4,2,4,3
123,A,76,9,509,male,self_employed,married,2,46,3,2,2,3,3,5,5,3,4,1,4,4,3,4,2
124,B,29,12,550,female,self_employed,never_married,2,32,1,1,1,1,3,5,5,5,5,3,1,1,2,1,4
125,A,30,12,567,female,regular,never_married,1,47,2,3,1,2,3,4,3,4,3,2,5,5,3,3,2
126,A,79,12,0,female,not_employed,married,4,0,5,5,3,5,1,1,1,1,1,5,4,3,3,3,3
127,B,58,12,464,male,self_employed,married,3,61,4,2,3,3,2,4,5,5,5,1,2,1,1,1,3
128,A,48,9,81,female,nonregular,married,3,22,2,4,2,4,4,2,1,2,3,1,3,3,2,3,3
129,B,64,16,470,female,self_employed,widowed,1,29,5,5,5,5,1,2,3,3,1,4,5,3,4,4,3
130,A,36,14,788,male,self_employed,never_married,1,38,4,5,5,5,1,3,3,2,2,2,4,4,3,3,3
131,B,72,16,702,other,regular,married,3,38,4,5,5,4,1,2,2,2,2,4,5,4,4,4,2
132,A,73,16,39,female,not_employed,divorced,2,0,3,3,3,2,4,1,1,2,2,5,3,5,4,4,1
133,B,37,16,467,female,regular,married,2,41,5,3,5,2,4,2,2,4,4,4,3,3,5,4,2
134,A,23,16,297,male,regular,never_married,4,44,4,3,3,3,3,1,2,2,2,4,2,2,3,2,4
135,B,39,9,78,other,not_employed,never_married,1,0,3,2,3,5,4,4,3,4,5,3,3,4,5,3,5
136,B,59,12,179,female,not_employed,married,3,0,3,3,2,3,2,1,1,2,3,4,4,3,3,2,4
137,B,27,12,156,female,nonregular,married,2,8,3,2,1,3,4,3,2,3,4,3,3,4,3,3,2
138,B,57,9,156,female,nonregular,widowed,1,8,1,3,1,2,4,5,4,4,4,3,5,5,4,4,2
139,A,60,14,181,female,nonregular,married,3,21,3,4,3,4,5,1,1,1,2,4,3,5,5,5,2
140,A,42,16,240,female,nonregular,divorced,2,23,3,2,2,2,5,4,5,4,5,1,2,2,2,3,4
141,A,37,9,178,female,nonregular,married,3,20,3,4,4,4,5,4,2,3,3,2,2,2,3,2,3
142,B,33,9,226,female,regular,married,3,34,3,3,1,3,3,4,4,2,3,2,3,3,4,3,3
143,B,65,12,0,female,not_employed,married,2,0,2,3,1,1,3,2,3,1,2,3,4,4,4,3,2
144,B,63,12,0,female,not_employed,married,2,0,3,3,4,3,4,1,1,1,1,4,5,5,2,5,1
145,A,40,12,378,male,regular,married,4,43,4,3,4,3,3,5,2,4,3,2,4,3,2,3,4
146,A,37,9,199,female,nonregular,never_married,2,26,3,4,3,4,2,2,2,1,1,5,3,4,3,3,2
147,B,63,16,455,male,regular,married,4,44,3,2,4,2,3,2,5,4,2,2,3,4,2,3,3
148,A,20,12,371,female,regular,never_married,2,50,2,3,2,3,5,4,5,3,4,4,2,1,1,1,4
149,A,46,12,300,female,self_employed,married,3,47,2,2,1,2,4,5,2,5,2,1,3,1,2,3,3
150,B,29,14,165,female,nonregular,never_married,2,26,3,4,3,4,3,4,4,4,3,3,1,3,2,3,5
151,A,47,14,606,male,regular,never_married,1,45,3,3,4,2,4,3,2,3,3,4,2,3,5,3,2
152,A,32,12,442,male,self_employed,married,2,53,4,4,4,3,2,3,2,3,2,2,4,3,3,4,1
153,A,24,12,276,female,regular,never_married,2,44,4,3,3,4,3,2,4,3,4,2,4,3,2,2,4
154,B,53,16,108,female,not_employed,divorced,1,0,1,2,2,1,5,3,4,3,3,3,5,3,4,3,1
155,B,56,12,235,male,nonregular,married,3,25,3,4,4,2,2,4,2,5,4,3,2,3,2,3,4
156,B,28,12,348,male,regular,never_married,1,37,3,2,3,2,3,3,5,4,4,3,1,2,2,1,5
157,B,26,12,312,male,nonregular,never_married,1,20,2,2,3,1,5,2,2,3,1,5,1,2,4,4,4
158,B,72,14,168,female,not_employed,never_married,2,0,4,3,4,5,1,4,3,4,3,3,2,5,4,4,1
159,A,40,18,1175,female,self_employed,married,2,58,4,3,4,4,3,5,3,4,3,2,5,4,4,4,4
160,B,71,16,571,male,regular,married,2,36,2,4,3,4,4,2,2,1,1,5,3,2,4,3,4
161,A,20,12,296,female,regular,never_married,2,34,3,3,4,3,3,2,1,3,1,4,4,4,3,3,1
162,A,68,12,321,male,regular,married,5,41,2,3,2,3,5,4,5,4,3,3,3,3,4,3,4
163,A,65,16,139,female,not_employed,divorced,1,0,4,4,5,4,2,1,3,3,2,5,3,4,5,4,3
164,B,57,16,88,male,not_employed,married,4,0,1,2,1,2,4,5,5,5,5,2,3,2,3,2,3
165,A,28,16,471,other,regular,never_married,1,35,2,1,3,1,4,3,2,4,2,2,2,1,1,1,4
166,A,28,12,374,female,self_employed,never_married,1,42,3,3,3,2,3,3,3,3,4,2,1,2,2,1,3
167,A,41,12,292,female,nonregular,never_married,1,22,1,2,1,2,4,4,4,4,4,3,3,2,4,3,2
168,B,66,9,149,female,not_employed,married,3,0,4,1,3,3,3,4,5,4,4,1,3,3,3,5,1
169,B,45,14,596,male,regular,never_married,1,42,5,5,4,5,1,2,4,3,2,3,4,4,3,5,3
170,A,47,9,511,male,regular,married,5,45,1,1,2,3,3,5,4,3,5,1,4,3,4,5,4
171,B,65,12,49,male,not_employed,married,3,0,5,3,5,4,2,2,1,3,1,4,4,3,3,3,3
172,A,43,12,65,female,not_employed,married,3,0,1,2,1,2,3,3,3,3,4,4,3,3,3,3,3
173,A,64,12,158,female,nonregular,widowed,1,31,2,2,1,2,4,3,4,2,3,4,5,5,5,4,1
174,A,55,12,151,female,nonregular,married,6,30,1,2,1,2,5,4,5,5,5,3,1,2,3,1,4
175,B,77,16,197,female,not_employed,widowed,1,0,1,2,3,2,4,5,3,4,5,4,2,3,2,3,2
176,B,77,14,151,female,not_employed,widowed,2,0,4,5,4,5,1,3,3,2,2,3,5,5,5,5,1
177,B,28,9,136,female,nonregular,never_married,4,15,2,4,5,2,3,3,3,5,4,3,3,2,3,3,3
178,A,64,12,424,female,regular,never_married,1,46,3,1,2,3,3,3,3,3,5,3,2,1,2,2,4
179,B,20,9,74,male,nonregular,married,2,17,2,1,3,2,4,3,2,4,3,1,2,2,1,2,4
180,B,24,16,371,male,regular,married,5,39,3,3,2,3,2,5,3,3,5,1,3,2,1,3,4
181,B,56,16,547,female,regular,married,5,34,5,5,5,5,2,3,4,4,3,2,4,4,3,3,2
182,B,75,9,131,male,not_employed,married,2,0,2,1,1,2,4,2,2,1,1,2,5,2,5,3,2
183,A,32,16,412,female,regular,married,3,42,5,3,5,3,3,3,4,5,4,4,2,1,3,3,4
184,B,27,12,257,male,regular,never_married,2,45,2,2,3,2,1,4,4,3,2,1,2,2,2,1,2
185,B,41,12,414,female,regular,married,6,42,3,4,3,1,2,4,4,3,5,3,1,1,1,1,5
186,B,43,16,603,male,regular,married,4,34,1,2,3,3,5,2,3,3,2,3,3,2,3,2,4
187,B,44,12,140,male,not_employed,married,5,0,1,1,1,1,4,4,3,3,3,3,2,3,2,2,2
188,A,42,16,664,female,regular,widowed,2,46,2,2,3,3,4,4,3,3,4,2,3,3,2,2,3
189,A,51,16,688,female,regular,widowed,1,37,3,1,2,2,4,3,3,4,3,1,3,2,5,3,3
190,B,30,12,355,female,regular,never_married,1,44,5,4,4,3,3,3,3,2,2,3,3,4,3,4,3
191,A,51,14,565,male,regular,married,3,43,3,3,2,3,1,3,4,3,2,3,4,3,2,2,1
192,B,38,12,472,female,self_employed,married,2,32,2,1,2,1,4,3,5,3,3,2,2,3,4,3,3
193,B,43,14,629,female,regular,married,2,39,2,3,3,3,3,2,2,3,2,5,5,4,3,4,5
194,B,30,12,477,male,regular,never_married,1,44,2,3,4,1,4,4,3,3,3,2,3,4,5,4,2
195,B,65,12,86,male,not_employed,married,3,0,3,3,4,3,2,2,3,3,2,5,5,3,3,4,2
196,A,49,14,88,female,not_employed,married,2,0,4,3,5,3,2,1,3,3,2,5,5,4,5,5,2
197,B,74,16,73,male,not_employed,married,2,0,5,4,3,3,1,1,1,1,2,4,4,3,4,3,3
198,B,52,16,208,female,self_employed,married,2,57,2,1,4,2,5,5,4,4,5,1,2,2,1,2,4
199,B,20,12,327,male,regular,never_married,1,32,4,4,3,2,3,3,4,1,3,4,3,4,2,4,3
200,B,48,12,408,female,regular,married,2,36,5,5,4,5,2,1,1,1,1,5,5,5,5,5,1
201,A,54,14,0,male,not_employed,married,3,0,3,4,4,2,4,2,2,2,2,3,3,2,1,2,3
202,A,53,12,599,female,regular,married,4,40,3,3,3,4,2,3,4,3,2,3,2,3,2,1,4
203,A,32,12,141,male,nonregular,never_married,1,16,3,3,2,3,3,4,3,2,3,2,4,4,4,4,3
204,A,69,12,163,male,self_employed,widowed,3,37,4,5,3,5,3,1,2,2,2,3,5,5,5,4,2
205,A,29,16,212,male,self_employed,married,3,29,4,3,1,2,2,3,1,1,2,5,3,3,4,4,3
206,B,26,12,292,male,regular,never_married,1,43,2,2,1,2,4,3,3,3,3,5,2,2,3,3,4
207,A,76,12,0,male,not_employed,married,2,0,4,3,2,4,1,4,2,4,3,3,4,4,2,5,4
208,B,77,12,0,male,not_employed,married,2,0,3,2,1,3,5,3,3,2,2,4,3,3,3,3,3
209,A,45,9,221,male,self_employed,married,3,25,2,1,1,1,5,5,5,5,5,2,4,3,3,3,4
210,A,36,12,53,male,not_employed,never_married,4,0,3,1,1,1,4,3,4,3,3,2,2,1,2,2,5
211,B,41,16,224,male,nonregular,married,4,14,3,3,4,4,2,4,4,5,4,3,1,2,3,2,4
212,B,74,12,132,male,not_employed,married,2,0,4,3,3,5,4,2,2,1,1,2,4,4,5,5,1
213,A,68,12,216,male,nonregular,married,3,27,4,3,3,5,3,1,2,2,2,4,4,4,5,4,3
214,B,22,12,332,male,regular,married,2,37,4,4,5,5,3,1,2,1,1,4,3,4,3,3,3
215,A,63,9,0,male,not_employed,married,4,0,5,3,4,4,2,4,4,5,5,1,3,4,3,3,1
216,B,44,16,406,male,nonregular,married,2,25,5,5,5,3,2,2,1,3,3,4,5,5,5,5,1
217,B,56,12,689,female,regular,married,4,44,1,1,1,2,3,4,3,3,4,2,1,2,2,2,4
218,B,52,9,158,female,self_employed,married,3,20,3,4,4,4,3,5,2,5,5,3,2,2,3,3,3
219,A,28,14,420,female,regular,never_married,2,37,3,2,4,2,2,2,2,3,3,3,2,3,4,2,4
220,A,53,12,89,male,not_employed,married,2,0,3,3,5,2,5,3,4,1,3,3,4,5,3,4,2
221,B,63,16,155,female,not_employed,widowed,1,0,4,4,4,4,2,2,3,4,2,2,5,4,5,5,2
222,A,41,9,128,female,nonregular,married,3,25,4,4,5,4,2,3,3,3,1,4,3,2,4,3,4
223,A,58,12,115,male,nonregular,married,2,23,2,4,3,5,2,1,2,3,3,4,3,2,3,5,2
224,A,25,16,269,female,regular,never_married,2,36,2,3,2,1,3,4,3,2,2,3,4,3,4,3,5
225,A,59,16,707,male,regular,married,2,40,2,2,3,4,3,1,1,1,1,5,3,4,4,3,2
226,A,43,12,217,female,regular,married,2,32,3,3,4,4,3,2,1,3,2,5,2,2,2,3,2
227,B,37,12,186,female,nonregular,married,4,8,2,1,2,1,5,2,3,2,3,2,2,2,3,2,3
228,B,52,12,252,female,self_employed,never_married,1,58,3,3,2,2,3,5,5,4,5,1,2,1,3,1,4
229,A,58,12,235,female,nonregular,married,2,17,3,2,2,2,4,4,3,2,4,2,4,3,2,3,3
230,B,35,12,1675,female,self_employed,married,2,22,3,2,3,2,4,3,4,5,4,1,4,3,3,3,3
231,A,41,14,248,female,nonregular,never_married,1,23,4,5,4,4,3,5,5,5,4,1,1,2,3,3,3
232,A,47,16,340,female,nonregular,married,2,20,2,3,4,3,4,4,5,3,3,3,3,2,3,2,4
233,B,37,12,444,female,regular,married,3,40,3,3,3,2,2,4,3,5,3,4,4,3,4,4,4
234,A,61,14,287,female,nonregular,divorced,2,6,3,4,3,3,2,1,3,2,1,3,2,3,4,3,1
235,A,35,16,488,male,regular,never_married,1,35,4,3,5,4,1,3,3,4,3,4,3,3,2,3,4
236,A,69,12,377,male,not_employed,widowed,6,0,2,2,3,3,5,4,4,4,3,2,4,2,4,3,3
237,B,53,12,81,female,not_employed,married,2,0,1,1,1,1,4,5,5,5,4,1,3,2,2,4,3
238,A,67,12,93,male,not_employed,married,3,0,2,4,3,3,1,3,2,4,2,3,3,5,4,4,3
239,B,42,14,0,male,not_employed,married,5,0,1,2,2,2,5,4,5,4,5,2,2,3,3,1,4
240,B,24,16,165,female,nonregular,never_married,1,26,2,4,1,2,3,5,5,3,5,1,3,2,3,1,4
241,B,70,14,386,female,regular,widowed,6,47,3,5,3,5,2,2,1,2,2,3,5,3,3,4,1
242,A,20,12,157,other,regular,never_married,1,50,4,4,4,5,2,3,5,2,3,4,3,3,4,1,4
243,A,32,16,822,female,regular,married,2,36,2,2,1,2,4,4,3,3,3,2,4,3,5,4,3
244,A,53,12,98,male,not_employed,married,2,0,3,2,2,2,5,1,3,1,1,4,2,1,4,3,2
245,A,36,9,567,male,self_employed,married,4,41,3,4,4,5,4,3,1,3,2,5,4,5,5,5,1
246,A,51,9,222,male,nonregular,never_married,2,25,4,4,3,3,4,4,3,1,2,4,2,3,3,2,5
247,A,35,12,394,male,regular,married,2,50,3,4,3,3,3,3,4,5,4,3,2,3,2,3,3
248,B,48,16,0,female,not_employed,married,3,0,3,5,5,4,3,4,2,2,4,3,3,2,2,3,3
249,B,60,14,407,female,regular,divorced,2,38,4,3,4,3,3,1,1,1,1,5,4,3,4,4,3
250,A,63,16,254,male,not_employed,married,2,0,4,4,4,4,4,1,1,2,2,5,2,2,4,2,3
251,A,54,9,0,male,not_employed,married,2,0,4,4,3,4,3,4,3,3,4,3,3,2,4,2,4
252,A,71,16,0,male,not_employed,married,2,0,5,3,3,4,1,3,4,3,3,3,4,5,3,3,2
253,B,39,12,328,male,self_employed,married,2,34,1,2,2,1,4,4,4,4,5,1,1,2,1,1,5
254,B,26,18,725,female,regular,never_married,1,40,2,2,2,1,3,4,4,4,3,4,2,3,3,2,3
255,A,38,14,650,male,regular,never_married,2,42,4,4,3,4,3,3,3,4,3,2,3,4,2,3,3
256,B,72,12,254,male,self_employed,married,2,60,4,4,2,3,4,2,3,5,3,1,4,3,5,2,3
257,B,25,14,149,male,nonregular,never_married,1,17,5,3,4,4,3,2,4,2,2,5,4,3,2,2,3
258,A,68,16,0,female,not_employed,widowed,1,0,2,2,5,2,4,2,4,2,1,4,2,2,3,2,4
